BLOCK_ID,SERVICE_TYPE_ID
190093,4
190094,4
190095,5
190096,5
190097,5
190098,5
190099,5
190100,5
190101,5
190102,5
190103,3
190104,3
190105,4
190106,4
190107,5
190108,5
190109,3
190110,3
190111,3
190112,3
190113,3
190114,4
190115,4
190116,5
190117,5
190118,5
190119,5
190120,3
190121,3
190122,4
190123,4
190124,4
190125,5
190126,5
190127,5
190128,5
190129,5
190130,5
190131,3
190132,3
190133,3
190134,4
190135,4
190136,3
190137,4
190138,5
190139,5
190140,5
190141,5
190142,3
190143,4
190144,4
190145,4
190146,11
190147,12
190148,12
190149,5
190150,5
190151,5
190152,5
190153,5
190154,3
190155,11
190156,5
190157,5
190158,5
190159,5
190160,5
190161,5
190162,3
190163,5
190164,5
190165,5
190166,3
190167,4
190168,5
190169,3
190170,4
190171,4
190172,5
190173,5
190174,5
190175,3
190176,4
190177,5
190178,4
190179,5
190180,5
190181,5
190182,3
190183,3
190184,4
190185,4
190186,4
190187,5
190188,5
190189,5
190190,5
190191,5
190192,3
190193,3
190194,3
190195,4
190196,5
190197,5
190198,5
190199,5
190200,5
190201,12
190202,3
190203,3
190204,4
190205,4
190206,4
190207,4
190208,5
190209,5
190210,5
190211,5
190212,5
190213,5
190214,3
190215,4
190216,5
190217,5
190218,5
190219,5
190220,3
190221,5
190222,3
190223,5
190224,5
190225,5
190226,5
190227,3
190228,4
190229,4
190230,4
190231,5
190232,5
190233,5
190234,4
190235,4
190236,4
190237,5
190238,5
190239,5
190240,5
190241,5
190242,3
190243,4
190244,4
190245,5
190246,5
190247,5
190248,5
190249,5
190250,5
190251,3
190252,3
190253,4
190254,5
190255,5
190256,4
190257,4
190258,4
190259,4
190260,5
190261,5
190262,5
190263,3
190264,4
190265,5
190266,5
190267,5
190268,5
190269,5
190270,3
190271,3
190272,4
190273,4
190274,4
190275,5
190276,5
190277,5
190278,5
190279,4
190280,4
190281,4
190282,5
190283,5
190284,5
190285,5
190286,5
190287,5
190288,5
190289,5
190290,3
190291,3
190292,4
190293,5
190294,11
190295,5
190296,4
190297,4
190298,4
190299,5
190300,5
190301,5
190302,5
190303,3
190304,4
190305,4
190306,4
190307,4
190308,5
190309,5
190310,5
190311,5
190312,3
190313,3
190314,5
190315,5
190316,5
190317,5
190318,5
190319,3
190320,3
190321,3
190322,3
190323,5
190324,5
190325,5
190326,3
190327,4
190328,4
190329,5
190330,5
190331,5
190332,5
190333,5
190334,5
190335,5
190336,5
190337,3
190338,3
190339,3
190340,4
190341,5
190342,11
190343,5
190344,5
190345,5
190346,3
190347,5
190348,3
190349,3
190350,3
190351,5
190352,5
190353,5
190354,5
190355,4
190356,5
190357,5
190358,5
190359,5
190360,5
190361,5
190362,5
190363,5
190364,3
190365,4
190366,5
190367,5
190368,5
190369,5
190370,5
190371,3
190372,3
190373,3
190374,4
190375,5
190376,5
190377,5
190378,5
190379,3
190380,3
190381,4
190382,4
190383,4
190384,5
190385,5
190386,5
190387,5
190388,5
190389,5
190390,5
190391,11
190392,5
190393,3
190394,3
190395,3
190396,3
190397,5
190398,5
190399,5
190400,3
190401,3
190402,4
190403,5
190404,5
190405,5
190406,5
190407,5
190408,3
190409,3
190410,5
190411,5
190412,5
190413,5
190414,5
190415,5
190416,5
190417,11
190418,5
190419,3
190420,4
190421,4
190422,4
190423,4
190424,5
190425,11
190426,5
190427,5
190428,5
190429,3
190430,5
190431,5
190432,5
190433,5
190434,3
190435,3
190436,3
190437,3
190438,4
190439,5
190440,5
190441,5
190442,5
190443,3
190444,3
190445,3
190446,3
190447,4
190448,5
190449,5
190450,5
190451,5
190452,5
190453,5
190454,5
190455,3
190456,3
190457,3
190458,5
190459,3
190460,3
190461,3
190462,5
190463,5
190464,5
190465,5
190466,5
190467,5
190468,3
190469,3
190470,5
190471,5
190472,5
190473,5
190474,5
190475,5
190476,4
190477,4
190478,5
190479,5
190480,11
190481,5
190482,5
190483,5
190484,5
190485,5
190486,3
190487,4
190488,5
190489,5
190490,11
190491,4
190492,5
190493,5
190494,4
190495,5
190496,5
190497,5
190498,4
190499,5
