ROUTE_ABBR,TRIP_ID,TRIP_SEQUENCE,BLOCK_TRIP_SEQ,BLOCK_ID,BLOCK_ABBR,BLOCK_NUM,SERVICE_TYPE_TEXT
170,3440416,83160,43,191142,170-1,1,Saturday
170,3433956,25200,4,191142,170-1,1,Saturday
172,3431886,55200,13,190867,172-2,2,Saturday
172,3432849,84720,24,190867,172-2,2,Saturday
172,3438128,60600,15,190867,172-2,2,Saturday
172,3438369,76620,22,191019,172-1,1,Saturday
186,3431963,73680,21,190373,186-1,1,Saturday
186,3435472,66000,18,190373,186-1,1,Saturday
189,3433530,72300,9,190457,189-4,4,Saturday
189,3435760,47100,1,190457,189-4,4,Saturday
193,3434814,55500,20,190795,193-1,1,Saturday
193,3443256,64800,25,190795,193-1,1,Saturday
193,3442179,82800,35,190795,193-1,1,Saturday
21,3438379,57900,12,190214,21-2,2,Saturday
25,3446688,67800,27,190290,25-2,2,Saturday
25,3430629,52200,18,190640,25-1,1,Saturday
25,3431760,78600,33,190640,25-1,1,Saturday
26,3435729,32700,5,190938,26-2,2,Saturday
26,3445652,46800,10,190938,26-2,2,Saturday
33,3436328,57600,13,190663,33-1,1,Saturday
33,3445710,66600,16,191060,33-2,2,Saturday
8,3437612,55500,10,190937,8-1,1,Saturday
82,3438765,39600,8,190320,82-1,1,Saturday
83,3440982,66960,23,190242,83-2,2,Saturday
83,3440242,78300,28,190242,83-2,2,Saturday
83,3433797,22500,2,190242,83-2,2,Saturday
83,3447036,36360,9,190762,83-3,3,Saturday
83,3430338,54360,17,190762,83-3,3,Saturday
83,3441918,65700,22,190762,83-3,3,Saturday
83,3434075,62100,20,190837,83-4,4,Saturday
103,3434535,36000,10,190321,103-1,1,Saturday
103,3434032,69600,10,191050,103-2,2,Saturday
103,3440219,86400,19,191050,103-2,2,Saturday
111,3446257,42000,7,191093,111-2,2,Saturday
132,3444574,62520,24,190183,126-2,2,Saturday
153,3446865,25440,5,190946,153-1,1,Saturday
165,3437950,41100,9,190897,165-2,2,Saturday
178,3443678,57900,18,190691,178-2,2,Saturday
180,3433606,81300,20,190541,180-2,2,Saturday
180,3439141,85500,13,190643,180-4,4,Saturday
19,3438465,29220,4,190793,19-1,1,Saturday
19,3444988,26100,3,190793,19-1,1,Saturday
19,3431664,48720,10,190847,19-2,2,Saturday
27,3438837,33600,6,190954,27-1,1,Saturday
32,3442742,80460,17,190364,32-4,4,Saturday
32,3441732,77100,16,190364,32-4,4,Saturday
32,3431047,51900,10,191125,32-1,1,Saturday
32,3437662,64080,13,191167,32-3,3,Saturday
42,3434390,38100,7,191124,42-1,1,Saturday
47,3442317,75600,21,190455,47-1,1,Saturday
12,3438209,72300,15,190393,12-2,2,Saturday
12,3438173,83400,18,190393,12-2,2,Saturday
12,3445859,57900,11,190393,12-2,2,Saturday
12,3446616,23700,1,190773,12-4,4,Saturday
12,3446307,25500,2,190926,12-3,3,Saturday
16,3430862,68700,18,190203,16-2,2,Saturday
36,3432087,37200,6,190434,36-2,2,Saturday
36,3431977,73500,18,190443,36-1,1,Saturday
60,3443355,26940,3,190193,60-2,2,Saturday
60,3430559,69300,24,190822,60-1,1,Saturday
66,3446270,83400,26,191126,66-2,2,Saturday
68,3441038,22800,1,190121,68-2,2,Saturday
104,3442952,44700,14,190290,25-2,2,Saturday
115,3436472,41400,9,190505,115-2,2,Saturday
115,3431221,63000,4,190599,115-5,5,Saturday
115,3442444,46500,12,191133,115-1,1,Saturday
115,3437186,41700,10,191133,115-1,1,Saturday
15,3442988,43200,8,190435,15-1,1,Saturday
15,3430752,27600,3,190730,15-3,3,Saturday
15,3442201,50220,11,190830,15-4,4,Saturday
15,3437481,67680,17,190830,15-4,4,Saturday
155,3443571,48480,11,190880,155-1,1,Saturday
34,3438103,34200,6,190715,34-1,1,Saturday
49,3442758,62940,18,191066,49-1,1,Saturday
50,3442326,69300,28,190419,50-1,1,Saturday
53,3444108,37320,10,190202,53-1,1,Saturday
140,3442479,74400,9,190339,140-4,4,Saturday
140,3444545,48000,11,190507,140-2,2,Saturday
39,3438179,69300,19,190169,39-2,2,Saturday
39,3435411,78600,22,190192,39-3,3,Saturday
39,3434560,78300,22,190319,39-6,6,Saturday
39,3434603,24300,2,190319,39-6,6,Saturday
39,3429926,44100,10,190617,39-4,4,Saturday
39,3445697,54900,1,190800,39-7,7,Saturday
56,3444432,66660,20,190556,56-1,1,Saturday
58,3438432,41400,10,191132,58-2,2,Saturday
67,3442409,62400,28,191045,67-1,1,Saturday
67,3441613,30540,7,191045,67-1,1,Saturday
84,3434532,74400,20,190132,84-2,2,Saturday
9,3430939,40800,8,191033,9-2,2,Saturday
95,3431915,67500,20,190664,95-3,3,Saturday
95,3434659,81300,28,190875,95-2,2,Saturday
114,3434451,41700,10,190460,114-1,1,Saturday
114,3445914,84900,28,190460,114-1,1,Saturday
116,3429861,32100,4,191186,116-3,3,Saturday
123,3444884,19440,1,190698,123-1,1,Saturday
123,3429665,34200,6,190698,123-1,1,Saturday
123,3429909,37200,6,190931,123-2,2,Saturday
125,3439412,27360,3,190166,125-3,3,Saturday
125,3438049,41700,8,191134,125-1,1,Saturday
30,3432422,31500,5,190989,30-1,1,Saturday
55,3441016,70260,19,191166,55-1,1,Saturday
6,3446465,40500,8,190350,6-1,1,Saturday
6,3441325,32100,5,190350,6-1,1,Saturday
6,3443699,34800,7,191067,6-2,2,Saturday
6,3447421,59400,16,191067,6-2,2,Saturday
6,3429719,61800,17,191067,6-2,2,Saturday
6,3433499,56400,15,191067,6-2,2,Saturday
89,3444480,20160,1,190394,89-4,4,Saturday
89,3439399,23640,2,190394,89-4,4,Saturday
89,3433170,62520,14,190394,89-4,4,Saturday
89,3434196,86280,22,190992,89-2,2,Saturday
162,3446419,56040,14,190111,162-1,1,Saturday
162,3430172,48840,11,190539,162-3,3,Saturday
183,3436317,40800,9,190446,183-1,1,Saturday
183,3435060,84000,27,190446,183-1,1,Saturday
183,3432180,26400,3,190446,183-1,1,Saturday
185,3438661,66300,5,190113,185-4,4,Saturday
185,3441561,50760,9,190679,185-3,3,Saturday
185,3436665,48360,9,190868,185-2,2,Saturday
185,3433777,68700,5,191143,185-5,5,Saturday
2,3443689,56580,19,190587,2-1,1,Saturday
2,3435963,58200,20,190587,2-1,1,Saturday
3,3439975,31800,4,190103,3-2,2,Saturday
4,3445851,24300,4,190781,4-1,1,Saturday
4,3439976,29280,7,190781,4-1,1,Saturday
4,3446665,32880,9,190781,4-1,1,Saturday
51,3445966,37800,5,190936,51-2,2,Saturday
71,3431293,33900,7,190380,71-3,3,Saturday
71,3435351,55500,16,190745,71-2,2,Saturday
71,3441206,37560,8,190745,71-2,2,Saturday
