route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
7086,3,1973585,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819637,45407
7086,3,1973586,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819638,45407
7086,3,1973587,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819637,45407
7086,3,1973588,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819638,45407
7086,3,1973589,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819637,45407
7086,3,1973590,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819638,45407
7086,3,1973591,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819637,45407
7086,3,1973592,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819638,45407
7086,3,1973593,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819637,45407
7086,3,1973594,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819638,45407
7086,3,1973595,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819637,45407
7086,3,1973596,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819638,45407
7086,3,1973597,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819637,45407
7086,3,1973598,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819638,45407
7086,3,1973599,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819637,45407
7086,3,1973600,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819638,45407
7086,3,1973601,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819637,45407
7086,3,1973602,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819638,45407
7086,3,1973603,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819637,45407
7086,3,1973604,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819638,45407
7086,3,1973605,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819637,45407
7086,3,1973606,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819638,45407
7086,3,1973607,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819637,45407
7086,3,1973608,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819638,45407
7086,3,1973609,1 5 POINTS STATION VIA CHATTAHOOCHEE AVE,0,819637,45407
7086,3,1973610,1 MOORES MILL VIA CHATTAHOOCHEE AVE,1,819637,45409
7086,3,1973611,1 MOORES MILL VIA CHATTAHOOCHEE AVE,1,819638,45409
7086,3,1973612,1 MOORES MILL VIA CHATTAHOOCHEE AVE,1,819637,45409
7086,3,1973613,1 MOORES MILL VIA CHATTAHOOCHEE AVE,1,819638,45409
7086,3,1973614,1 MOORES MILL VIA CHATTAHOOCHEE AVE,1,819637,45409
7086,3,1973615,1 MOORES MILL VIA CHATTAHOOCHEE AVE,1,819638,45409
7086,3,1973616,1 MOORES MILL VIA CHATTAHOOCHEE AVE,1,819637,45409
7086,3,1973617,1 MOORES MILL VIA CHATTAHOOCHEE AVE,1,819638,45409
7086,3,1973618,1 MOORES MILL VIA CHATTAHOOCHEE AVE,1,819637,45409
7086,3,1973619,1 MOORES MILL VIA CHATTAHOOCHEE AVE,1,819638,45409
7086,3,1973620,1 MOORES MILL VIA CHATTAHOOCHEE AVE,1,819637,45409
7086,3,1973621,1 MOORES MILL VIA CHATTAHOOCHEE AVE,1,819638,45409
