Passenger ID,start hour,start minute,Start Station,Start Lat ,Start Lng,End Station,End Lat ,End Lng,Walking Time,Waiting Time,Riding Time
1000627,8,12,Start Station,33.7753134,-84.1928781,End Station,33.7615254,-84.3910157,1,1,1
2000627,8,51,Start Station,33.7778874,-84.19124685,End Station,33.7616262,-84.38833175,1,1,1
3000627,7,22,Start Station,33.7739634,-84.1879365,End Station,33.7609638,-84.38387735,1,1,1
4000627,7,41,Start Station,33.7786398,-84.19322175,End Station,33.760485,-84.39071555,1,1,1
1552,7,47,Start Station,33.728338,-84.390193,End Station,33.746596,-84.33176,1,1,1
2001552,7,4,Start Station,33.7262824,-84.3881311,End Station,33.7458292,-84.3326996,1,1,1
3001552,8,43,Start Station,33.7268584,-84.39268555,End Station,33.7500844,-84.330542,1,1,1
1001553,7,38,Start Station,33.7596076,-84.4188472,End Station,33.7293338,-84.39411875,1,1,1
3001553,7,22,Start Station,33.7603132,-84.42322765,End Station,33.731933,-84.3929312,1,1,1
4001553,8,55,Start Station,33.7621276,-84.4249111,End Station,33.735731,-84.39241355,1,1,1
1554,8,34,Start Station,33.730415,-84.389447,End Station,33.752486,-84.32616,1,1,1
1001554,7,43,Start Station,33.7293638,-84.3885422,End Station,33.7494692,-84.3251334,1,1,1
2001554,7,57,Start Station,33.7335542,-84.38766785,End Station,33.7541564,-84.3296574,1,1,1
3001554,7,51,Start Station,33.7317614,-84.38619755,End Station,33.7492964,-84.32772165,1,1,1
4001554,7,44,Start Station,33.7293926,-84.39182645,End Station,33.7501712,-84.32389365,1,1,1
1555,8,36,Start Station,33.733141,-84.389342,End Station,33.860106,-84.350431,1,1,1
2001555,8,35,Start Station,33.7317406,-84.3921782,End Station,33.863526,-84.3523711,1,1,1
3001555,7,9,Start Station,33.7323418,-84.3895073,End Station,33.8620716,-84.34773835,1,1,1
4001555,8,10,Start Station,33.7301206,-84.3881849,End Station,33.8572836,-84.353911,1,1,1
1556,8,36,Start Station,33.72115,-84.388175,End Station,33.784354,-84.392035,1,1,1
1001556,7,56,Start Station,33.7208188,-84.3874007,End Station,33.7838104,-84.3892249,1,1,1
3001556,8,51,Start Station,33.7239832,-84.38422085,End Station,33.784804,-84.39411865,1,1,1
4001556,8,29,Start Station,33.724372,-84.39093725,End Station,33.7812292,-84.3958108,1,1,1
1559,8,57,Start Station,33.733732,-84.386293,End Station,33.741408,-84.408589,1,1,1
