Passenger ID,start hour,start minute,Start Station,Start Lat ,Start Lng,End Station,End Lat ,End Lng,Walking Time,Waiting Time,Riding Time
627,6,17,Start Station,33.775605,-84.190938,End Station,33.762375,-84.387353,461,1582,2311
1552,7,28,Start Station,33.728338,-84.390193,End Station,33.746596,-84.33176,587,833,1559
1553,6,45,Start Station,33.762214,-84.422275,End Station,33.732365,-84.390878,206,537,1437
1554,8,27,Start Station,33.730415,-84.389447,End Station,33.752486,-84.32616,868,688,1619
1555,8,14,Start Station,33.733141,-84.389342,End Station,33.860106,-84.350431,722,1463,2014
1556,8,50,Start Station,33.72115,-84.388175,End Station,33.784354,-84.392035,1217,535,1127
1559,8,6,Start Station,33.733732,-84.386293,End Station,33.741408,-84.408589,558,1880,2846
1645,8,53,Start Station,33.764572,-84.457645,End Station,33.753782,-84.473987,954,570,1055
1674,8,5,Start Station,33.744919,-84.369792,End Station,33.759262,-84.370623,461,1262,604
1676,8,17,Start Station,33.709353,-84.449818,End Station,33.759262,-84.370623,586,1558,1602
1677,8,8,Start Station,33.773769,-84.350847,End Station,33.754447,-84.377263,616,548,721
1679,8,46,Start Station,33.750877,-84.475926,End Station,33.752357,-84.382364,467,782,2196
1680,7,22,Start Station,33.760952,-84.405418,End Station,33.786362,-84.395071,1184,1023,1171
1681,7,31,Start Station,33.74081,-84.396189,End Station,33.749913,-84.475381,None,None,None
1689,7,5,Start Station,33.8146,-84.397384,End Station,33.791253,-84.394383,987,242,703
1694,8,37,Start Station,33.762511,-84.437636,End Station,33.748885,-84.47187,1516,242,573
1700,8,15,Start Station,33.752709,-84.476486,End Station,33.752357,-84.382364,463,1319,830
1702,8,0,Start Station,33.752024,-84.404635,End Station,33.755535,-84.380227,407,242,948
1704,8,37,Start Station,33.761575,-84.441613,End Station,33.755639,-84.384168,386,1057,1522
1711,8,25,Start Station,33.71443,-84.434083,End Station,33.759262,-84.370623,611,1556,1371
1712,8,22,Start Station,33.766563,-84.393976,End Station,33.753503,-84.385182,565,526,470
1713,8,42,Start Station,33.761938,-84.362834,End Station,33.931303,-84.354318,1099,626,1932
1748,7,4,Start Station,33.749677,-84.438255,End Station,33.755733,-84.340795,1123,2104,2129
1768,7,38,Start Station,33.908254,-84.383151,End Station,33.775973,-84.384464,465,491,3450
1769,8,5,Start Station,33.797272,-84.406608,End Station,33.779327,-84.397686,764,976,1002
1774,6,50,Start Station,33.778908,-84.407619,End Station,33.754695,-84.407865,453,1077,1175
1782,8,0,Start Station,33.796107,-84.397499,End Station,33.749572,-84.367988,2061,523,1126
