Passenger ID,start hour,start minute,Start Station,Start Lat ,Start Lng,End Station,End Lat ,End Lng,Walking Time,Waiting Time,Riding Time
1552,7,5,Start Station,33.728338,-84.390193,End Station,33.746596,-84.33176,1,1,1
1001552,8,42,Start Station,33.7281436,-84.3862954,End Station,33.7437088,-84.3318644,1,1,1
1001553,8,44,Start Station,33.7603672,-84.419143,End Station,33.7331318,-84.39181325,1,1,1
1554,8,41,Start Station,33.730415,-84.389447,End Station,33.752486,-84.32616,1,1,1
1001554,8,13,Start Station,33.7291874,-84.3859235,End Station,33.7507364,-84.3229758,1,1,1
1555,8,57,Start Station,33.733141,-84.389342,End Station,33.860106,-84.350431,1,1,1
1001555,7,50,Start Station,33.734581,-84.3853574,End Station,33.8582988,-84.3487084,1,1,1
1556,8,0,Start Station,33.72115,-84.388175,End Station,33.784354,-84.392035,1,1,1
1559,8,8,Start Station,33.733732,-84.386293,End Station,33.741408,-84.408589,1,1,1
1001559,7,34,Start Station,33.7368424,-84.38987305,End Station,33.7405548,-84.40942855,1,1,1
1645,8,31,Start Station,33.764572,-84.457645,End Station,33.753782,-84.473987,1,1,1
1001645,7,31,Start Station,33.7664476,-84.4610293,End Station,33.75461,-84.47060705,1,1,1
1674,8,40,Start Station,33.744919,-84.369792,End Station,33.759262,-84.370623,1,1,1
1001674,7,39,Start Station,33.7467838,-84.368661,End Station,33.7577608,-84.37469025,1,1,1
1676,8,2,Start Station,33.709353,-84.449818,End Station,33.759262,-84.370623,1,1,1
1001676,7,31,Start Station,33.7067898,-84.4492264,End Station,33.7606984,-84.3742248,1,1,1
1677,8,1,Start Station,33.773769,-84.350847,End Station,33.754447,-84.377263,1,1,1
1679,8,28,Start Station,33.750877,-84.475926,End Station,33.752357,-84.382364,1,1,1
1001679,8,16,Start Station,33.7517806,-84.47713965,End Station,33.7511942,-84.38132435,1,1,1
1680,7,13,Start Station,33.760952,-84.405418,End Station,33.786362,-84.395071,1,1,1
1681,7,12,Start Station,33.74081,-84.396189,End Station,33.749913,-84.475381,1,1,1
1001681,7,19,Start Station,33.7379768,-84.39493185,End Station,33.7511514,-84.47689915,1,1,1
1689,7,39,Start Station,33.8146,-84.397384,End Station,33.791253,-84.394383,1,1,1
1001689,8,13,Start Station,33.813124,-84.39675325,End Station,33.792315,-84.39195135,1,1,1
1694,8,34,Start Station,33.762511,-84.437636,End Station,33.748885,-84.47187,1,1,1
1001694,8,3,Start Station,33.7633858,-84.4376534,End Station,33.7482514,-84.46929045,1,1,1
1700,8,27,Start Station,33.752709,-84.476486,End Station,33.752357,-84.382364,1,1,1
1001700,8,40,Start Station,33.7544262,-84.47716895,End Station,33.7490342,-84.3833906,1,1,1
1702,8,21,Start Station,33.752024,-84.404635,End Station,33.755535,-84.380227,1,1,1
1001702,8,8,Start Station,33.7528232,-84.40167265,End Station,33.757173,-84.38346775,1,1,1
1704,8,35,Start Station,33.761575,-84.441613,End Station,33.755639,-84.384168,1,1,1
1001704,7,19,Start Station,33.762565,-84.4372891,End Station,33.7578206,-84.3823323,1,1,1
1711,8,36,Start Station,33.71443,-84.434083,End Station,33.759262,-84.370623,1,1,1
1001711,7,4,Start Station,33.7147864,-84.435997,End Station,33.7625992,-84.3684654,1,1,1
1712,8,57,Start Station,33.766563,-84.393976,End Station,33.753503,-84.385182,1,1,1
1001712,8,28,Start Station,33.7629738,-84.3943588,End Station,33.7545218,-84.3840597,1,1,1
1713,8,3,Start Station,33.761938,-84.362834,End Station,33.931303,-84.354318,1,1,1
1748,7,41,Start Station,33.749677,-84.438255,End Station,33.755733,-84.340795,1,1,1
1768,7,49,Start Station,33.908254,-84.383151,End Station,33.775973,-84.384464,1,1,1
1001768,7,12,Start Station,33.9115624,-84.38176335,End Station,33.7737446,-84.3882485,1,1,1
1769,8,10,Start Station,33.797272,-84.406608,End Station,33.779327,-84.397686,1,1,1
1001769,7,38,Start Station,33.795868,-84.40569885,End Station,33.7801658,-84.4013574,1,1,1
1782,8,15,Start Station,33.796107,-84.397499,End Station,33.749572,-84.367988,1,1,1
1001782,7,22,Start Station,33.795837,-84.3945584,End Station,33.7523188,-84.3644471,1,1,1
1793,7,44,Start Station,33.749677,-84.438255,End Station,33.755733,-84.340795,1,1,1
1798,8,31,Start Station,33.746654,-84.36309,End Station,33.753153,-84.391262,1,1,1
1001798,7,16,Start Station,33.749246,-84.3656739,End Station,33.753693,-84.38876945,1,1,1
1808,7,59,Start Station,33.771195,-84.380469,End Station,33.786333,-84.395326,1,1,1
1815,7,12,Start Station,33.740758,-84.398305,End Station,33.771349,-84.395546,1,1,1
1816,7,58,Start Station,33.765133,-84.391871,End Station,33.792475,-84.397448,1,1,1
1830,7,25,Start Station,33.764572,-84.457645,End Station,33.765133,-84.391871,1,1,1
